time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
232.3562,0,0,0,0,0,0
232.3683,0,0,0,0,0,0
232.374,0,0,0,0,0,0
232.378,0,0,0,0,0,0
232.3816,0,0,0,0,0,0
232.3853,0,0,0,0,0,0
232.389,0,0,0,0,0,0
232.3925,0,0,0,0,0,0
232.3958,0,0,0,0,0,0
232.4,0,0,0,0,0,0
232.4037,0,0,0,0,0,0
232.4077,0,0,0,0,0,0
232.4109,0,0,0,0,0,0
232.4151,0,0,0,0,0,0
232.4193,0,0,0,0,0,0
232.4234,0,0,0,0,0,0
232.4269,0,0,0,0,0,0
232.4314,0,0,0,0,0,0
232.4352,0,0,0,0,0,0
232.4395,0,0,0,0,0,0
232.4429,0,0,0,0,0,0
232.4468,0,0,0,0,0,0
232.4503,0,0,0,0,0,0
232.4539,0,0,0,0,0,0
232.4581,0,0,0,0,0,0
232.4629,0,0,0,0,0,0
232.4669,0,0,0,0,0,0
232.4704,0,0,0,0,0,0
232.4739,0,0,0,0,0,0
232.4793,0,0,0,0,0,0
232.484,0,0,0,0,0,0
232.4883,0,0,0,0,0,0
232.4923,0,0,0,0,0,0
232.4961,0,0,0,0,0,0
232.4995,0,0,0,0,0,0
232.503,0,0,0,0,0,0
232.507,0,0,0,0,0,0
232.5107,0,0,0,0,0,0
232.5146,0,0,0,0,0,0
232.5196,0,0,0,0,0,0
232.5237,0,0,0,0,0,0
232.5276,0,0,0,0,0,0
232.5313,0,0,0,0,0,0
232.5348,0,0,0,0,0,0
232.539,0,0,0,0,0,0
232.5429,0,0,0,0,0,0
232.5469,0,0,0,0,0,0
232.5503,0,0,0,0,0,0
232.5541,0,0,0,0,0,0
232.5578,0,0,0,0,0,0
232.5615,0,0,0,0,0,0
232.5651,0,0,0,0,0,0
232.5707,0,0,0,0,0,0
232.575,0,0,0,0,0,0
232.5783,0,0,0,0,0,0
232.582,0,0,0,0,0,0
232.5863,0,0,0,0,0,0
232.5904,0,0,0,0,0,0
232.5945,0,0,0,0,0,0
232.5988,0,0,0,0,0,0
232.6039,0,0,0,0,0,0
232.6082,0,0,0,0,0,0
232.6122,0,0,0,0,0,0
232.6164,0,0,0,0,0,0
232.6201,0,0,0,0,0,0
232.6239,0,0,0,0,0,0
232.6277,0,0,0,0,0,0
232.6313,0,0,0,0,0,0
232.635,0,0,0,0,0,0
232.6389,0,0,0,0,0,0
232.6426,0,0,0,0,0,0
232.6467,0,0,0,0,0,0
232.6507,0,0,0,0,0,0
232.655,0,0,0,0,0,0
232.6584,0,0,0,0,0,0
232.6623,0,0,0,0,0,0
232.6669,0,0,0,0,0,0
232.6704,0,0,0,0,0,0
232.6745,0,0,0,0,0,0
232.6784,0,0,0,0,0,0
232.6823,0,0,0,0,0,0
232.6857,0,0,0,0,0,0
232.6896,0,0,0,0,0,0
232.6933,0,0,0,0,0,0
232.697,0,0,0,0,0,0
232.7005,0,0,0,0,0,0
232.7042,0,0,0,0,0,0
232.7076,0,0,0,0,0,0
232.7112,0,0,0,0,0,0
232.715,0,0,0,0,0,0
232.7191,0,0,0,0,0,0
232.7229,0,0,0,0,0,0
232.7267,0,0,0,0,0,0
232.7304,0,0,0,0,0,0
232.7339,0,0,0,0,0,0
232.7376,0,0,0,0,0,0
232.7423,0,0,0,0,0,0
232.7465,0,0,0,0,0,0
232.7503,0,0,0,0,0,0
232.7541,0,0,0,0,0,0
232.7578,0,0,0,0,0,0
232.7616,0,0,0,0,0,0
232.7657,0,0,0,0,0,0
232.7692,0,0,0,0,0,0
232.7733,0,0,0,0,0,0
232.777,0,0,0,0,0,0
232.7805,0,0,0,0,0,0
232.7842,0,0,0,0,0,0
232.7883,0,0,0,0,0,0
232.7921,0,0,0,0,0,0
232.7957,0,0,0,0,0,0
232.7993,0,0,0,0,0,0
232.8031,0,0,0,0,0,0
232.807,0,0,0,0,0,0
232.8108,0,0,0,0,0,0
232.8147,0,0,0,0,0,0
232.8191,0,0,0,0,0,0
232.8235,0,0,0,0,0,0
232.8277,0,0,0,0,0,0
232.8315,0,0,0,0,0,0
232.8355,0,0,0,0,0,0
232.8394,0,0,0,0,0,0
232.8428,0,0,0,0,0,0
232.8467,0,0,0,0,0,0
232.8508,0,0,0,0,0,0
232.8543,0,0,0,0,0,0
232.8579,0,0,0,0,0,0
232.8615,0,0,0,0,0,0
232.8656,0,0,0,0,0,0
232.8692,0,0,0,0,0,0
232.8728,0,0,0,0,0,0
232.8766,0,0,0,0,0,0
232.8802,0,0,0,0,0,0
232.8845,0,0,0,0,0,0
232.8889,0,0,0,0,0,0
232.8923,0,0,0,0,0,0
232.8962,0,0,0,0,0,0
232.9002,0,0,0,0,0,0
232.9043,0,0,0,0,0,0
232.9086,0,0,0,0,0,0
232.9124,0,0,0,0,0,0
232.9162,0,0,0,0,0,0
232.9196,0,0,0,0,0,0
232.9234,0,0,0,0,0,0
232.9275,0,0,0,0,0,0
232.9316,0,0,0,0,0,0
232.9354,0,0,0,0,0,0
232.9391,0,0,0,0,0,0
232.9423,0,0,0,0,0,0
232.9466,0,0,0,0,0,0
232.9507,0,0,0,0,0,0
232.9541,0,0,0,0,0,0
232.9579,0,0,0,0,0,0
232.9622,0,0,0,0,0,0
232.9665,0,0,0,0,0,0
232.9704,0,0,0,0,0,0
232.9744,0,0,0,0,0,0
232.9781,0,0,0,0,0,0
232.9818,0,0,0,0,0,0
232.9855,0,0,0,0,0,0
232.9898,0,0,0,0,0,0
232.9933,0,0,0,0,0,0
232.9969,0,0,0,0,0,0
233.0006,0,0,0,0,0,0
233.0048,0,0,0,0,0,0
233.0086,0,0,0,0,0,0
233.0123,0,0,0,0,0,0
233.0161,0,0,0,0,0,0
233.0198,0,0,0,0,0,0
233.0241,0,0,0,0,0,0
233.0286,0,0,0,0,0,0
233.0324,0,0,0,0,0,0
233.0363,0,0,0,0,0,0
233.0405,0,0,0,0,0,0
233.044,0,0,0,0,0,0
233.0475,0,0,0,0,0,0
233.0512,0,0,0,0,0,0
233.0547,0,0,0,0,0,0
233.0583,0,0,0,0,0,0
233.0619,0,0,0,0,0,0
233.066,0,0,0,0,0,0
233.0698,0,0,0,0,0,0
233.0739,0,0,0,0,0,0
233.0778,0,0,0,0,0,0
233.0818,0,0,0,0,0,0
233.0855,0,0,0,0,0,0
233.0892,0,0,0,0,0,0
233.0927,0,0,0,0,0,0
233.097,0,0,0,0,0,0
233.1012,0,0,0,0,0,0
233.1054,0,0,0,0,0,0
233.1092,0,0,0,0,0,0
233.1134,0,0,0,0,0,0
233.1173,0,0,0,0,0,0
233.1207,0,0,0,0,0,0
233.1245,0,0,0,0,0,0
233.1283,0,0,0,0,0,0
233.1325,0,0,0,0,0,0
233.1369,0,0,0,0,0,0
233.1408,0,0,0,0,0,0
233.1447,0,0,0,0,0,0
233.1486,0,0,0,0,0,0
233.1522,0,0,0,0,0,0
233.1558,0,0,0,0,0,0
233.1596,0,0,0,0,0,0
233.1636,0,0,0,0,0,0
233.168,0,0,0,0,0,0
233.1719,0,0,0,0,0,0
233.1758,0,0,0,0,0,0
233.1803,0,0,0,0,0,0
233.184,0,0,0,0,0,0
233.1877,0,0,0,0,0,0
233.192,0,0,0,0,0,0
233.1959,0,0,0,0,0,0
233.1996,0,0,0,0,0,0
233.2031,0,0,0,0,0,0
233.2073,0,0,0,0,0,0
233.2109,0,0,0,0,0,0
233.215,0,0,0,0,0,0
233.2187,0,0,0,0,0,0
233.2227,0,0,0,0,0,0
233.2267,0,0,0,0,0,0
233.2306,0,0,0,0,0,0
233.2339,0,0,0,0,0,0
233.2375,0,0,0,0,0,0
233.2418,0,0,0,0,0,0
233.2455,0,0,0,0,0,0
233.2496,0,0,0,0,0,0
233.2535,0,0,0,0,0,0
233.2573,0,0,0,0,0,0
233.2614,0,0,0,0,0,0
233.2659,0,0,0,0,0,0
233.2701,0,0,0,0,0,0
233.2741,0,0,0,0,0,0
233.2778,0,0,0,0,0,0
233.2814,0,0,0,0,0,0
233.2852,0,0,0,0,0,0
233.289,0,0,0,0,0,0
233.2925,0,0,0,0,0,0
233.2964,0,0,0,0,0,0
233.3008,0,0,0,0,0,0
233.3051,0,0,0,0,0,0
233.3087,0,0,0,0,0,0
233.3123,0,0,0,0,0,0
233.3164,0,0,0,0,0,0
233.3203,0,0,0,0,0,0
233.3242,0,0,0,0,0,0
233.3279,0,0,0,0,0,0
233.3318,0,0,0,0,0,0
233.3356,0,0,0,0,0,0
233.3394,0,0,0,0,0,0
233.3429,0,0,0,0,0,0
233.3467,0,0,0,0,0,0
233.3507,0,0,0,0,0,0
233.3546,0,0,0,0,0,0
233.3588,0,0,0,0,0,0
233.3627,0,0,0,0,0,0
233.3668,0,0,0,0,0,0
233.3704,0,0,0,0,0,0
233.374,0,0,0,0,0,0
233.3776,0,0,0,0,0,0
233.3813,0,0,0,0,0,0
233.385,0,0,0,0,0,0
233.389,0,0,0,0,0,0
233.3928,0,0,0,0,0,0
233.3972,0,0,0,0,0,0
233.4008,0,0,0,0,0,0
