time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
95.56615,0,0,0,0,0,0
95.57646,0,0,0,0,0,0
95.58079,0,0,0,0,0,0
95.58507,0,0,0,0,0,0
95.58888,0,0,0,0,0,0
95.59349,0,0,0,0,0,0
95.59805,0,0,0,0,0,0
95.60221,0,0,0,0,0,0
95.60755,0,0,0,0,0,0
95.61292,0,0,0,0,0,0
95.61646,0,0,0,0,0,0
95.62013,0,0,0,0,0,0
95.62368,0,0,0,0,0,0
95.62747,0,0,0,0,0,0
95.63104,0,0,0,0,0,0
95.63461,0,0,0,0,0,0
95.63779,0,0,0,0,0,0
95.64161,0,0,0,0,0,0
95.646,0,0,0,0,0,0
95.64946,0,0,0,0,0,0
95.65278,0,0,0,0,0,0
95.65648,0,0,0,0,0,0
95.66019,0,0,0,0,0,0
95.66376,0,0,0,0,0,0
95.66717,0,0,0,0,0,0
95.67081,0,0,0,0,0,0
95.67459,0,0,0,0,0,0
95.67802,0,0,0,0,0,0
95.68138,0,0,0,0,0,0
95.68638,0,0,0,0,0,0
95.69003,0,0,0,0,0,0
95.6937,0,0,0,0,0,0
95.69729,0,0,0,0,0,0
95.70058,0,0,0,0,0,0
95.70453,0,0,0,0,0,0
95.70799,0,0,0,0,0,0
95.71161,0,0,0,0,0,0
95.715,0,0,0,0,0,0
95.71881,0,0,0,0,0,0
95.72208,0,0,0,0,0,0
95.7255,0,0,0,0,0,0
95.72901,0,0,0,0,0,0
95.73259,0,0,0,0,0,0
95.73617,0,0,0,0,0,0
95.7396,0,0,0,0,0,0
95.7432,0,0,0,0,0,0
95.74684,0,0,0,0,0,0
95.75126,0,0,0,0,0,0
95.75511,0,0,0,0,0,0
95.75864,0,0,0,0,0,0
95.7624,0,0,0,0,0,0
95.76623,0,0,0,0,0,0
95.76955,0,0,0,0,0,0
95.77287,0,0,0,0,0,0
95.77647,0,0,0,0,0,0
95.77997,0,0,0,0,0,0
95.78352,0,0,0,0,0,0
95.78761,0,0,0,0,0,0
95.7911,0,0,0,0,0,0
95.79523,0,0,0,0,0,0
95.79898,0,0,0,0,0,0
95.80244,0,0,0,0,0,0
95.80589,0,0,0,0,0,0
95.80919,0,0,0,0,0,0
95.81304,0,0,0,0,0,0
95.8166,0,0,0,0,0,0
95.82041,0,0,0,0,0,0
95.82402,0,0,0,0,0,0
95.82749,0,0,0,0,0,0
95.831,0,0,0,0,0,0
95.83492,0,0,0,0,0,0
95.83846,0,0,0,0,0,0
95.84193,0,0,0,0,0,0
95.84594,0,0,0,0,0,0
95.84928,0,0,0,0,0,0
95.85336,0,0,0,0,0,0
95.85729,0,0,0,0,0,0
95.86091,0,0,0,0,0,0
95.86458,0,0,0,0,0,0
95.86875,0,0,0,0,0,0
95.87274,0,0,0,0,0,0
95.87691,0,0,0,0,0,0
95.88085,0,0,0,0,0,0
95.88573,0,0,0,0,0,0
95.88976,0,0,0,0,0,0
95.8935,0,0,0,0,0,0
95.89718,0,0,0,0,0,0
95.90089,0,0,0,0,0,0
95.90578,0,0,0,0,0,0
95.90958,0,0,0,0,0,0
95.91316,0,0,0,0,0,0
95.91673,0,0,0,0,0,0
95.92053,0,0,0,0,0,0
95.92419,0,0,0,0,0,0
95.92783,0,0,0,0,0,0
95.93232,0,0,0,0,0,0
95.93648,0,0,0,0,0,0
95.93999,0,0,0,0,0,0
95.94397,0,0,0,0,0,0
95.94778,0,0,0,0,0,0
95.95233,0,0,0,0,0,0
95.95601,0,0,0,0,0,0
95.95941,0,0,0,0,0,0
95.96293,0,0,0,0,0,0
95.96875,0,0,0,0,0,0
95.97334,0,0,0,0,0,0
95.97749,0,0,0,0,0,0
95.98188,0,0,0,0,0,0
95.98693,0,0,0,0,0,0
95.99026,0,0,0,0,0,0
95.99378,0,0,0,0,0,0
95.99863,0,0,0,0,0,0
96.00292,0,0,0,0,0,0
96.00728,0,0,0,0,0,0
96.01105,0,0,0,0,0,0
96.01527,0,0,0,0,0,0
96.01965,0,0,0,0,0,0
96.02328,0,0,0,0,0,0
96.02673,0,0,0,0,0,0
96.03106,0,0,0,0,0,0
96.03565,0,0,0,0,0,0
96.03936,0,0,0,0,0,0
96.04277,0,0,0,0,0,0
96.04722,0,0,0,0,0,0
96.05098,0,0,0,0,0,0
96.05443,0,0,0,0,0,0
96.05811,0,0,0,0,0,0
96.06236,0,0,0,0,0,0
96.06661,0,0,0,0,0,0
96.07055,0,0,0,0,0,0
96.07397,0,0,0,0,0,0
96.07964,0,0,0,0,0,0
96.08594,0,0,0,0,0,0
96.09152,0,0,0,0,0,0
96.09644,0,0,0,0,0,0
96.10078,0,0,0,0,0,0
96.10493,0,0,0,0,0,0
96.10938,0,0,0,0,0,0
96.11359,0,0,0,0,0,0
96.11736,0,0,0,0,0,0
96.12152,0,0,0,0,0,0
96.12638,0,0,0,0,0,0
96.13078,0,0,0,0,0,0
96.13471,0,0,0,0,0,0
96.13857,0,0,0,0,0,0
96.14262,0,0,0,0,0,0
96.14663,0,0,0,0,0,0
96.15004,0,0,0,0,0,0
96.15441,0,0,0,0,0,0
96.15875,0,0,0,0,0,0
96.16313,0,0,0,0,0,0
96.16706,0,0,0,0,0,0
96.17102,0,0,0,0,0,0
96.17677,0,0,0,0,0,0
96.18462,0,0,0,0,0,0
96.18918,0,0,0,0,0,0
96.19373,0,0,0,0,0,0
96.20147,0,0,0,0,0,0
96.20581,0,0,0,0,0,0
96.21008,0,0,0,0,0,0
96.2136,0,0,0,0,0,0
96.21715,0,0,0,0,0,0
96.22102,0,0,0,0,0,0
96.22572,0,0,0,0,0,0
96.22945,0,0,0,0,0,0
96.23306,0,0,0,0,0,0
96.23718,0,0,0,0,0,0
96.24123,0,0,0,0,0,0
96.24923,0,0,0,0,0,0
96.2539,0,0,0,0,0,0
96.26253,0,0,0,0,0,0
96.26659,0,0,0,0,0,0
96.27093,0,0,0,0,0,0
96.2747,0,0,0,0,0,0
96.27879,0,0,0,0,0,0
96.2823,0,0,0,0,0,0
96.28651,0,0,0,0,0,0
96.29045,0,0,0,0,0,0
96.29436,0,0,0,0,0,0
96.29762,0,0,0,0,0,0
96.30179,0,0,0,0,0,0
96.30627,0,0,0,0,0,0
96.3101,0,0,0,0,0,0
96.31362,0,0,0,0,0,0
96.31781,0,0,0,0,0,0
96.32174,0,0,0,0,0,0
96.326,0,0,0,0,0,0
96.32995,0,0,0,0,0,0
96.33385,0,0,0,0,0,0
96.33781,0,0,0,0,0,0
96.34144,0,0,0,0,0,0
96.3454,0,0,0,0,0,0
96.34938,0,0,0,0,0,0
96.35342,0,0,0,0,0,0
96.35728,0,0,0,0,0,0
96.36127,0,0,0,0,0,0
96.3657,0,0,0,0,0,0
