time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
197.9553,0,0,0,0,0,0
197.969,0,0,0,0,0,0
197.9746,0,0,0,0,0,0
197.9814,0,0,0,0,0,0
197.9866,0,0,0,0,0,0
197.9911,0,0,0,0,0,0
197.9953,0,0,0,0,0,0
197.9993,0,0,0,0,0,0
198.0036,0,0,0,0,0,0
198.0085,0,0,0,0,0,0
198.0125,0,0,0,0,0,0
198.0167,0,0,0,0,0,0
198.021,0,0,0,0,0,0
198.0272,0,0,0,0,0,0
198.0324,0,0,0,0,0,0
198.0361,0,0,0,0,0,0
198.04,0,0,0,0,0,0
198.0439,0,0,0,0,0,0
198.0478,0,0,0,0,0,0
198.0525,0,0,0,0,0,0
198.0581,0,0,0,0,0,0
198.0635,0,0,0,0,0,0
198.0689,0,0,0,0,0,0
198.0737,0,0,0,0,0,0
198.0784,0,0,0,0,0,0
198.0823,0,0,0,0,0,0
198.0867,0,0,0,0,0,0
198.0923,0,0,0,0,0,0
198.0961,0,0,0,0,0,0
198.1003,0,0,0,0,0,0
198.1045,0,0,0,0,0,0
198.1087,0,0,0,0,0,0
198.1125,0,0,0,0,0,0
198.1174,0,0,0,0,0,0
198.1222,0,0,0,0,0,0
198.127,0,0,0,0,0,0
198.131,0,0,0,0,0,0
198.1348,0,0,0,0,0,0
198.1388,0,0,0,0,0,0
198.1431,0,0,0,0,0,0
198.147,0,0,0,0,0,0
198.1507,0,0,0,0,0,0
198.1548,0,0,0,0,0,0
198.1605,0,0,0,0,0,0
198.165,0,0,0,0,0,0
198.1694,0,0,0,0,0,0
198.1738,0,0,0,0,0,0
198.1777,0,0,0,0,0,0
198.1814,0,0,0,0,0,0
198.1856,0,0,0,0,0,0
198.1903,0,0,0,0,0,0
198.1944,0,0,0,0,0,0
198.1982,0,0,0,0,0,0
198.2023,0,0,0,0,0,0
198.2117,0,0,0,0,0,0
198.2156,0,0,0,0,0,0
198.2207,0,0,0,0,0,0
198.2288,0,0,0,0,0,0
198.2333,0,0,0,0,0,0
198.2375,0,0,0,0,0,0
198.2414,0,0,0,0,0,0
198.2453,0,0,0,0,0,0
198.2499,0,0,0,0,0,0
198.2542,0,0,0,0,0,0
198.2581,0,0,0,0,0,0
198.2615,0,0,0,0,0,0
198.2665,0,0,0,0,0,0
198.2708,0,0,0,0,0,0
198.2748,0,0,0,0,0,0
198.2789,0,0,0,0,0,0
198.2832,0,0,0,0,0,0
198.288,0,0,0,0,0,0
198.2917,0,0,0,0,0,0
198.2951,0,0,0,0,0,0
198.3005,0,0,0,0,0,0
198.3046,0,0,0,0,0,0
198.309,0,0,0,0,0,0
198.3138,0,0,0,0,0,0
198.3186,0,0,0,0,0,0
198.3224,0,0,0,0,0,0
198.3265,0,0,0,0,0,0
198.3324,0,0,0,0,0,0
198.3362,0,0,0,0,0,0
198.3404,0,0,0,0,0,0
198.3453,0,0,0,0,0,0
198.3503,0,0,0,0,0,0
198.354,0,0,0,0,0,0
198.3579,0,0,0,0,0,0
198.362,0,0,0,0,0,0
198.3667,0,0,0,0,0,0
198.3705,0,0,0,0,0,0
198.3744,0,0,0,0,0,0
198.3786,0,0,0,0,0,0
198.3831,0,0,0,0,0,0
198.3871,0,0,0,0,0,0
198.391,0,0,0,0,0,0
198.3961,0,0,0,0,0,0
198.401,0,0,0,0,0,0
198.4048,0,0,0,0,0,0
198.41,0,0,0,0,0,0
198.4147,0,0,0,0,0,0
198.4183,0,0,0,0,0,0
198.4224,0,0,0,0,0,0
198.4278,0,0,0,0,0,0
198.4323,0,0,0,0,0,0
198.4362,0,0,0,0,0,0
198.441,0,0,0,0,0,0
198.4455,0,0,0,0,0,0
198.4492,0,0,0,0,0,0
198.4537,0,0,0,0,0,0
198.4574,0,0,0,0,0,0
198.4612,0,0,0,0,0,0
198.4648,0,0,0,0,0,0
198.4687,0,0,0,0,0,0
198.4724,0,0,0,0,0,0
198.4761,0,0,0,0,0,0
198.4799,0,0,0,0,0,0
198.4845,0,0,0,0,0,0
198.4885,0,0,0,0,0,0
198.4924,0,0,0,0,0,0
198.496,0,0,0,0,0,0
198.5001,0,0,0,0,0,0
198.5047,0,0,0,0,0,0
198.5082,0,0,0,0,0,0
198.5118,0,0,0,0,0,0
198.5165,0,0,0,0,0,0
198.5214,0,0,0,0,0,0
198.5262,0,0,0,0,0,0
198.5303,0,0,0,0,0,0
198.5348,0,0,0,0,0,0
198.5397,0,0,0,0,0,0
198.5437,0,0,0,0,0,0
198.5481,0,0,0,0,0,0
198.5518,0,0,0,0,0,0
198.5555,0,0,0,0,0,0
198.5593,0,0,0,0,0,0
198.5635,0,0,0,0,0,0
198.5676,0,0,0,0,0,0
198.5717,0,0,0,0,0,0
198.5752,0,0,0,0,0,0
198.5793,0,0,0,0,0,0
198.5833,0,0,0,0,0,0
198.5872,0,0,0,0,0,0
198.5911,0,0,0,0,0,0
198.595,0,0,0,0,0,0
198.5994,0,0,0,0,0,0
198.6032,0,0,0,0,0,0
198.607,0,0,0,0,0,0
198.6106,0,0,0,0,0,0
198.6141,0,0,0,0,0,0
198.6178,0,0,0,0,0,0
198.6216,0,0,0,0,0,0
198.6257,0,0,0,0,0,0
198.6308,0,0,0,0,0,0
198.6347,0,0,0,0,0,0
198.6384,0,0,0,0,0,0
198.6427,0,0,0,0,0,0
198.6465,0,0,0,0,0,0
198.6505,0,0,0,0,0,0
198.6542,0,0,0,0,0,0
198.6583,0,0,0,0,0,0
198.6621,0,0,0,0,0,0
198.666,0,0,0,0,0,0
198.67,0,0,0,0,0,0
198.674,0,0,0,0,0,0
198.6776,0,0,0,0,0,0
198.6816,0,0,0,0,0,0
198.6855,0,0,0,0,0,0
198.6898,0,0,0,0,0,0
198.6937,0,0,0,0,0,0
198.6978,0,0,0,0,0,0
198.7014,0,0,0,0,0,0
198.7054,0,0,0,0,0,0
198.7093,0,0,0,0,0,0
198.7128,0,0,0,0,0,0
198.7164,0,0,0,0,0,0
198.7201,0,0,0,0,0,0
198.7239,0,0,0,0,0,0
198.7275,0,0,0,0,0,0
198.7313,0,0,0,0,0,0
198.735,0,0,0,0,0,0
198.7385,0,0,0,0,0,0
198.7424,0,0,0,0,0,0
198.7462,0,0,0,0,0,0
198.7499,0,0,0,0,0,0
198.754,0,0,0,0,0,0
198.758,0,0,0,0,0,0
198.7613,0,0,0,0,0,0
198.765,0,0,0,0,0,0
198.7687,0,0,0,0,0,0
198.7724,0,0,0,0,0,0
198.7762,0,0,0,0,0,0
198.7803,0,0,0,0,0,0
198.7849,0,0,0,0,0,0
198.7889,0,0,0,0,0,0
198.7928,0,0,0,0,0,0
198.7968,0,0,0,0,0,0
198.8012,0,0,0,0,0,0
198.8055,0,0,0,0,0,0
198.8103,0,0,0,0,0,0
198.8152,0,0,0,0,0,0
198.8196,0,0,0,0,0,0
198.8236,0,0,0,0,0,0
198.8286,0,0,0,0,0,0
198.8324,0,0,0,0,0,0
198.8362,0,0,0,0,0,0
198.8407,0,0,0,0,0,0
198.8454,0,0,0,0,0,0
198.8493,0,0,0,0,0,0
198.8529,0,0,0,0,0,0
198.8578,0,0,0,0,0,0
198.8627,0,0,0,0,0,0
