time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
132.5994,0,0,0,0,0,0
132.6095,0,0,0,0,0,0
132.614,0,0,0,0,0,0
132.6186,0,0,0,0,0,0
132.6225,0,0,0,0,0,0
132.6263,0,0,0,0,0,0
132.6303,0,0,0,0,0,0
132.634,0,0,0,0,0,0
132.6378,0,0,0,0,0,0
132.6411,0,0,0,0,0,0
132.6454,0,0,0,0,0,0
132.6493,0,0,0,0,0,0
132.6537,0,0,0,0,0,0
132.6577,0,0,0,0,0,0
132.6613,0,0,0,0,0,0
132.6672,0,0,0,0,0,0
132.6719,0,0,0,0,0,0
132.6758,0,0,0,0,0,0
132.6811,0,0,0,0,0,0
132.6872,0,0,0,0,0,0
132.6905,0,0,0,0,0,0
132.6939,0,0,0,0,0,0
132.6977,0,0,0,0,0,0
132.7012,0,0,0,0,0,0
132.7049,0,0,0,0,0,0
132.7084,0,0,0,0,0,0
132.7122,0,0,0,0,0,0
132.716,0,0,0,0,0,0
132.72,0,0,0,0,0,0
132.724,0,0,0,0,0,0
132.728,0,0,0,0,0,0
132.7318,0,0,0,0,0,0
132.7354,0,0,0,0,0,0
132.739,0,0,0,0,0,0
132.7425,0,0,0,0,0,0
132.7462,0,0,0,0,0,0
132.7499,0,0,0,0,0,0
132.7537,0,0,0,0,0,0
132.7571,0,0,0,0,0,0
132.7609,0,0,0,0,0,0
132.7648,0,0,0,0,0,0
132.7683,0,0,0,0,0,0
132.772,0,0,0,0,0,0
132.7766,0,0,0,0,0,0
132.7802,0,0,0,0,0,0
132.7839,0,0,0,0,0,0
132.7879,0,0,0,0,0,0
132.7918,0,0,0,0,0,0
132.7955,0,0,0,0,0,0
132.799,0,0,0,0,0,0
132.8023,0,0,0,0,0,0
132.8064,0,0,0,0,0,0
132.8102,0,0,0,0,0,0
132.8138,0,0,0,0,0,0
132.8174,0,0,0,0,0,0
132.8219,0,0,0,0,0,0
132.8265,0,0,0,0,0,0
132.83,0,0,0,0,0,0
132.8336,0,0,0,0,0,0
132.8376,0,0,0,0,0,0
132.8412,0,0,0,0,0,0
132.8451,0,0,0,0,0,0
132.8487,0,0,0,0,0,0
132.8525,0,0,0,0,0,0
132.8566,0,0,0,0,0,0
132.8604,0,0,0,0,0,0
132.8639,0,0,0,0,0,0
132.8676,0,0,0,0,0,0
132.8713,0,0,0,0,0,0
132.8756,0,0,0,0,0,0
132.8795,0,0,0,0,0,0
132.8833,0,0,0,0,0,0
132.8874,0,0,0,0,0,0
132.8909,0,0,0,0,0,0
132.8947,0,0,0,0,0,0
132.8985,0,0,0,0,0,0
132.902,0,0,0,0,0,0
132.9056,0,0,0,0,0,0
132.9093,0,0,0,0,0,0
132.9131,0,0,0,0,0,0
132.9168,0,0,0,0,0,0
132.9206,0,0,0,0,0,0
132.9242,0,0,0,0,0,0
132.9277,0,0,0,0,0,0
132.9316,0,0,0,0,0,0
132.9361,0,0,0,0,0,0
132.9397,0,0,0,0,0,0
132.9436,0,0,0,0,0,0
132.9481,0,0,0,0,0,0
132.9518,0,0,0,0,0,0
132.9556,0,0,0,0,0,0
132.9591,0,0,0,0,0,0
132.9631,0,0,0,0,0,0
132.967,0,0,0,0,0,0
132.9712,0,0,0,0,0,0
132.9749,0,0,0,0,0,0
132.9788,0,0,0,0,0,0
132.9825,0,0,0,0,0,0
132.9867,0,0,0,0,0,0
132.9903,0,0,0,0,0,0
132.9942,0,0,0,0,0,0
132.9977,0,0,0,0,0,0
133.001,0,0,0,0,0,0
133.0051,0,0,0,0,0,0
133.009,0,0,0,0,0,0
133.0124,0,0,0,0,0,0
133.0159,0,0,0,0,0,0
133.0197,0,0,0,0,0,0
133.0232,0,0,0,0,0,0
133.0272,0,0,0,0,0,0
133.0313,0,0,0,0,0,0
133.0346,0,0,0,0,0,0
133.0392,0,0,0,0,0,0
133.0434,0,0,0,0,0,0
133.0471,0,0,0,0,0,0
133.0514,0,0,0,0,0,0
133.0574,0,0,0,0,0,0
133.0637,0,0,0,0,0,0
133.0724,0,0,0,0,0,0
133.0777,0,0,0,0,0,0
133.082,0,0,0,0,0,0
133.087,0,0,0,0,0,0
133.0911,0,0,0,0,0,0
133.0951,0,0,0,0,0,0
133.0997,0,0,0,0,0,0
133.1038,0,0,0,0,0,0
