experiment;ppid;session_num;trial_num;block_num;trial_num_in_block;start_time;end_time;condition;SIZE_LEVEL;numTaps;numManipulations;totalInteractions;nodesTouched;success
s2ms-2.1;3;1;1;1;1;3,720497;13,4;SIZE_AND_VIBRATION_AND_AUDIO;LOW_DIFFERENCE;0;0;0;0;0
s2ms-2.1;3;1;2;1;2;14,40055;20,82583;SIZE_AND_VIBRATION_AND_AUDIO;LOW_DIFFERENCE;0;0;0;0;0
